model,setting,horizon,station,MAE,RMSE,R2,MAPE,spike_MAE,spike_RMSE,spike_recall,n,n_spike
gru,multi,6,Aotizhongxin,29.318159514576244,48.94052208141691,0.7006282849793335,0.5736190060786891,40.662800153361644,59.68935301852386,0.8640533778148457,5803,2398
gru,multi,6,Changping,24.864914017998924,44.121841106052806,0.6772300700887008,0.6109005270391487,35.8630233665367,52.95752528950303,0.8713713713713713,5803,1998
gru,multi,6,Dingling,25.092297688283203,45.17756653502248,0.6796163230657644,0.583365964576867,37.241369844408034,54.92589160400622,0.8396275219865494,5803,1933
gru,multi,6,Dongsi,32.622729798257296,55.04949166153217,0.6821734071629098,0.5694053354288928,44.09229282008875,65.29603537090675,0.863431151241535,5803,2658
gru,multi,6,Guanyuan,30.153537857394866,50.379383277550566,0.6989858200160256,0.547353446650538,41.93378050158534,60.943636655509444,0.8420023464998044,5803,2557
gru,multi,6,Gucheng,30.446334136142497,53.5917738200775,0.6887791169397786,0.5766332731818276,43.049750662686534,66.08513803778526,0.8425039872408293,5803,2508
gru,multi,6,Huairou,22.785074420372165,38.4979131604126,0.7272144338074489,0.47764054715828513,35.4073616128168,50.79734723745479,0.8492665655032878,5803,1977
gru,multi,6,Nongzhanguan,29.867859665040577,50.33063964869774,0.7175394983935961,0.503809309498251,44.10775363889986,64.64827959975214,0.8223024468511834,5803,2493
gru,multi,6,Shunyi,28.874213219839355,48.430264739991436,0.6966365521632509,0.5225193854733178,43.186558856626014,64.44307374808515,0.8478166882836143,5803,2313
gru,multi,6,Tiantan,29.41301294090459,48.80628992580259,0.7080224004573107,0.5538299905956736,41.13792387113552,60.92311742253608,0.8484725050916497,5803,2455
gru,multi,6,Wanliu,29.401371745021308,48.638895221064864,0.6902359231297032,0.5609413204004622,40.101841765294495,57.9857802521596,0.8766261015526647,5803,2383
gru,multi,6,Wanshouxigong,32.14397162937531,54.62065050074991,0.6937655462951702,0.5678622254782011,45.62213040138624,68.70534596684672,0.8408385093167702,5803,2576
linear,global,1,Aotizhongxin,10.435650436674596,18.393503006504158,0.9576869603718834,0.20074484178414176,14.773169079256416,24.302471201021355,0.9478732276897415,5808,2398
linear,global,1,Changping,10.246127107583458,18.548757768131853,0.9429358694956869,0.22323918755986236,15.634145284200216,26.05550795218424,0.9359359359359359,5808,1998
linear,global,1,Dingling,9.222886202420742,17.18892195371006,0.9536035656031263,0.2114086474382108,13.82418758710061,23.748028922160017,0.9524055871702017,5808,1933
linear,global,1,Dongsi,11.242604913790364,21.296076932807967,0.9524080854235738,0.18619144512704083,15.37153486276229,26.035708603802487,0.9620015048908954,5808,2658
linear,global,1,Guanyuan,11.119754501610748,19.973803270973338,0.9526574757227193,0.20762275869957195,15.042069819647677,24.84785062810325,0.9522878373093469,5808,2557
linear,global,1,Gucheng,10.74058624929633,20.224076290913857,0.9556544763964802,0.195039155447454,14.636917489947695,25.155496351469264,0.94896331738437,5808,2508
